Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),publish_day,publish_hour
YBcsFGk2pss,"1  ஸ்பூன் மட்டும் போதும் | அனைத்திற்கும் ஒரே தீர்வு- கொழுப்பு, மலச்சிக்கல், குடல் புழு, தொப்பை",24-08-2019,294,2937513,130817.9788,60536,954.862,40980031,5.76,Saturday,0
22EHQIg0l5A,1 ஸ்பூன் போதும் மலச்சிக்கல் நிரந்தர தீர்வு | Constipation Home Remedies in Tamil |Malachikkal remedy,07-01-2021,621,1652500,108649.1649,26365,963.659,20607292,6.77,Thursday,0
azUuUrFRYVo,தண்ணீர் போதும் உடல் கொழுப்பு எளிதில் கரைய | Effective Hot Water Therapy for Weight Loss- Series-3,21-04-2019,437,1383476,78173.5266,54379,496.153,18341856,5.28,Sunday,0
XoURwG9iU_g,விசேஷங்களுக்கு தயாராக இதை மட்டும் செய்தாலே முகம் ஜொலிஜொலிக்கும் | Facial வேண்டாம் இனி | Instant Glow,07-06-2019,277,1165670,44226.8713,18815,303.309,23567244,3.54,Friday,0
Ikmcj5M4OpE,Lose 5kg in 1day- Effective Secret | ஒரே நாளில் 5 கிலோ வரை எளிதில் கரைய செய்யும் ரகசியம்- Series-4,02-05-2019,676,1001213,59051.0205,19822,427.644,14305932,4.95,Thursday,0
6FA2_dDDw6A,Proof Attached | Lose 4kgs in just 10days | Effective Weight Loss Remedy | No Gym | No Diet,10-12-2018,419,869858,42652.8584,9513,395.442,15029448,4.12,Monday,0
Afp_lv7aX14,இடுப்பு சதையை விரைவில் காணாமல் போகவைக்கும் மேஜிக் | Side Belly Fat- Fast Result in 10days,20-07-2019,271,779078,30088.5682,12210,184.825,10466720,5.41,Saturday,0
GzhCqki0l3A,நாள் பட்ட அடி வயிற்று கொழுப்பை 1 வாரத்தில் கரைக்கும் பானம் | Miracle drink to Lose 5Kgs in a week,22-05-2019,418,569358,30242.657,14382,218.232,7908224,5.18,Wednesday,0
oyyEv0yySoA,75 Kgs to 49 Kgs Transformation | How i lost 25 Kgs? | Beginners Tips to Start Weight Loss Journey,07-02-2020,823,511462,35537.7255,7216,275.806,7508273,5.02,Friday,0
9S1y-7Zvqhc,"1 Exercise- Effective Success Secret | தொப்பை, தொடை, கை, இடுப்பு சதை ஒரு உடற்பயற்சி போதும்",05-04-2020,529,495795,25199.2561,7859,67.008,7551117,4.9,Sunday,0
