video_id,video_title,views,watch_time_hours,subscribers_gained,publish_day,publish_hour
YBcsFGk2pss,"1  ஸ்பூன் மட்டும் போதும் | அனைத்திற்கும் ஒரே தீர்வு- கொழுப்பு, மலச்சிக்கல், குடல் புழு, தொப்பை",2937513,130817.9788,60536,Saturday,0.0
22EHQIg0l5A,1 ஸ்பூன் போதும் மலச்சிக்கல் நிரந்தர தீர்வு | Constipation Home Remedies in Tamil |Malachikkal remedy,1652500,108649.1649,26365,Thursday,0.0
azUuUrFRYVo,தண்ணீர் போதும் உடல் கொழுப்பு எளிதில் கரைய | Effective Hot Water Therapy for Weight Loss- Series-3,1383476,78173.5266,54379,Sunday,0.0
XoURwG9iU_g,விசேஷங்களுக்கு தயாராக இதை மட்டும் செய்தாலே முகம் ஜொலிஜொலிக்கும் | Facial வேண்டாம் இனி | Instant Glow,1165670,44226.8713,18815,Friday,0.0
Ikmcj5M4OpE,Lose 5kg in 1day- Effective Secret | ஒரே நாளில் 5 கிலோ வரை எளிதில் கரைய செய்யும் ரகசியம்- Series-4,1001213,59051.0205,19822,Thursday,0.0
6FA2_dDDw6A,Proof Attached | Lose 4kgs in just 10days | Effective Weight Loss Remedy | No Gym | No Diet,869858,42652.8584,9513,Monday,0.0
Afp_lv7aX14,இடுப்பு சதையை விரைவில் காணாமல் போகவைக்கும் மேஜிக் | Side Belly Fat- Fast Result in 10days,779078,30088.5682,12210,Saturday,0.0
GzhCqki0l3A,நாள் பட்ட அடி வயிற்று கொழுப்பை 1 வாரத்தில் கரைக்கும் பானம் | Miracle drink to Lose 5Kgs in a week,569358,30242.657,14382,Wednesday,0.0
oyyEv0yySoA,75 Kgs to 49 Kgs Transformation | How i lost 25 Kgs? | Beginners Tips to Start Weight Loss Journey,511462,35537.7255,7216,Friday,0.0
9S1y-7Zvqhc,"1 Exercise- Effective Success Secret | தொப்பை, தொடை, கை, இடுப்பு சதை ஒரு உடற்பயற்சி போதும்",495795,25199.2561,7859,Sunday,0.0
uDRp12PglKI,ஒரே நாளில் உடல் எடை குறைவதை நன்றாக உணரமுடியும் | இது ஒன்னு போதும் | Effective Weight Loss Remedy,450303,21929.8302,5419,Monday,0.0
HKocyYMFazk,StomachFat=1 EffectiveMantra பலூன் வயிறா? 1 நிமிடம் போதும் காத்து பிடுங்குவது போல் குறைத்துவிடலாம்,377483,20080.0025,4345,Wednesday,0.0
AU3SA4IJ-vI,Miracle Weight Gain powder for babies | High Protein Rich Powder | Dry Nuts Health Mix powder,342266,13441.0175,5989,Monday,0.0
Y82RgFcvDS4,3 நிமிடம் போதும் உடல் எடையை மளமளவென குறைக்கலாம் | கொழுப்பை கரைக்க ஈஸியான முறை | Lose 3kgs in 10days,205099,8036.9693,1741,Saturday,0.0
CAPPKAyHHKU,🏋️I tried BOHO BEAUTIFUL ARM FAT CHALLENGE and THIS HAPPENED😲😳 |Live Experience | 1st time Bloopers😂,203300,9150.172,2474,Tuesday,0.0
8fmk2IOn9qc,My Weight loss 75-49kgs Part-2 | இவ்ளோ easy-ஆ எடை குறைப்பது😲😮| கஷ்டம் இல்லாம செஞ்சரலாம் வாங்க,195756,10656.2626,2968,Friday,0.0
XPYGmFZxvrk,எப்பேர்ப்பட்ட எடை உள்ளவர்களும் இதை தொடர்ந்து குடித்தால் கொழுப்பு மளமளன்னு குறைந்திடும் | Detox drink,159598,8499.8196,2699,Tuesday,0.0
JFYnxkCq-qQ,வேகமாக எடை குறைக்க சிறந்த காலை உணவு | Breakfast recipe for Healthy Weight Loss,159559,5464.9051,1999,Thursday,0.0
Qe9ome5QPxo,எப்பேர்ப்பட்ட வயதான தோற்றத்தையும் ஜொலிஜொலிக்க வைக்கும் எளிமையான வீட்டு வைத்தியம் | Instant Glow tips,159378,8985.0552,2952,Tuesday,0.0
zSEDiPf8cH4,👍Challenge எப்பேர்ப்பட்ட எடையும் குறைந்தே தீரும்|Simple Secret for Weight Loss|Lazy peopl fat burner,131147,5853.1259,1008,Friday,0.0
ge26zXsu5nc,தொண்டை வலி உடனடியாக விரட்டி அடிக்க சூப்பரான Tips | Live Experience | Home remedy for Viral Infection,104851,2808.7926,660,Wednesday,0.0
KtWjyxj0fgM,வேகமாக எடை குறைய 10 எளிய வழிமுறைகள் | Lose 5Kgs in 1 week | 10 ideas to lose weight fast,103180,5924.5062,1268,Saturday,0.0
CTDozJbTSnw,இந்த 10 தந்திரப் பழங்கள் வேகமாக எடை குறைக்க உதவும் | Top 10 Fruits for effective weight loss,98761,6775.5289,1425,Saturday,0.0
